x,y,type,name
-300278.1816,7128291.88,police,Fulwood Police Station
-179312.8346,7356650.205,police,Market Street Police Station
-172623.4795,6579003.404,police,Lymington Police Station
-36760.01131,6674471.748,police,Leatherhead
-233404.222,6780950.626,police,Gloucestershire Constabulary
-332636.2417,7057627.051,police,Merseyside Police Headquarters
-165823.7733,6761656.406,police,Witney Police Station
12479.49378,6844557.785,police,Histon Sector Police Station
-322820.8349,7048921.905,police,Garston Police Station
-128846.611,6782053.215,police,Bicester Police Station
-20853.44681,6663292.562,police,Reigate Police Station
94912.12218,6644583.8,police,Stanhope Police
29380.64226,6873062.282,police,Ely Police Station
-329822.1629,7054998.177,police,Admiral Street Police Station
-220621.6609,6577349.298,police,Gravel Hill
-64252.05161,6663751.008,police,Guildford Divisional Headquarters
-108874.8702,6754968.927,police,Thame
125539.5316,6686566.849,police,Herne Bay Police Station
128049.2741,6810635.948,police,Ipswich Police Station
46264.69207,6732130.332,police,Billericay Police Station
-175370.9669,7318211.158,police,University Police Station
-8779.523336,6762944.044,police,Hertford Police Station
-22660.24007,6696117.558,police,Wimbledon Police Station
-17806.92178,6696209.868,police,Tooting Police Station
-39414.20192,6766892.082,police,Harpenden Police Station
-52160.68437,6735224.077,police,Rickmansworth Police Station
-271506.6796,7000993.081,police,Crewe Police Station
-9613.64028,6724720.27,police,St. Anns Police Station
-1101.484098,6706283.136,police,Greenwich Police Station
-8240.091347,6859576.853,police,St Ives Police Station
-123970.1272,6920334.464,police,Belgrave Police Station
-128155.3393,6915163.343,police,Hinckley Road Police Station
-122896.562,6906235.803,police,Wigston Police Station
-14430.30106,6697772.365,police,Streatham Police Station
-129.4645678,6733834.097,police,Chingford Police Station
-8469.698929,6671407.387,police,Caterham Police Station
-399113.2694,7274561.518,police,Whitehaven Police Station
-44563.96402,7120908.791,police,Pickering Road Police Station
-44957.07767,6700676.365,police,Feltham Police Station
-22630.16155,6710487.428,police,Parks Police
-210746.097,6879727.715,police,Kings Heath Police Station
-22074.5437,6737538.615,police,Barnet Police Station
-3867.728916,6746673.487,police,Cheshunt Police Station
-310624.972,6600292.3,police,Crewkerne Police Station
-49109.6175,7141381.384,police,Beverley Police Station
-193205.5628,7137283.873,police,Eccleshill Police Station
-109149.2171,6712952.322,police,Sonning Common Police Office
-176016.364,7320730.027,police,Durham Constabulary HQ
-25474.1185,6711315.141,police,Shepherd's Bush
-20998.52951,6860461.889,police,Huntingdon Police Station
-559.424969,6584652.566,police,Peacehaven Police Station
127316.7918,6859230.541,police,Eye Police Station
-318112.41,7184111.882,police,Morecambe Police Station
-30588.77043,6711748.712,police,Acton Police Station
-26507.49734,6757912.531,police,Hatfield Police Station And Magistrates Court
8924.027167,6720981.24,police,Ilford Police Station
-58289.25648,6779359.369,police,Dunstable Police Station
2546.121657,6730242.461,police,Woodford Police Station
-214649.9714,6891693.709,police,Handsworth Police Station
-101554.4783,6680000.643,police,Bramshill Police Staff College
-18726.777,6715986.533,police,St. John's Wood Police Station
-16030.91949,6714968.091,police,Albany Street Police Station
-124490.1673,6913983.025,police,Campus Park Police Office
