type,name,latitude,longitude
NHS Hospital,North Somerset Community Hospital,51.43719482,-2.847192764
NHS Hospital,Evesham Community Hospital,52.08626175,-1.948670626
NHS Hospital,Malvern Community Hospital,52.12385178,-2.322845221
NHS Hospital,Princess of Wales Community Hospital - Worcestershire Health and Care NHS Trust,52.3441391,-2.055647612
NHS Hospital,Ludlow Community Hospital,52.37365723,-2.714434147
NHS Hospital,Bridgnorth Community Hospital,52.53790283,-2.421488047
NHS Hospital,Bishop's Castle Community Hospital,52.4930954,-2.999591112
NHS Hospital,Whitchurch Community Hospital,52.97274017,-2.679201841
NHS Hospital,Gateway Surgical Centre,51.52277756,0.034731604
NHS Hospital,The Royal London Hospital,51.51869965,-0.060150061
NHS Hospital,Mile End Hospital,51.5250473,-0.04219196
NHS Hospital,Whipps Cross Hospital,51.57883072,0.002652787
NHS Hospital,St Bartholomew's Hospital,51.51774979,-0.10038992
NHS Hospital,Newham Hospital,51.52277756,0.034731604
NHS Hospital,Royal Surrey County Hospital,51.24101639,-0.60744828
NHS Hospital,Yeovil District Hospital,50.94484711,-2.634698391
NHS Hospital,Bristol Royal Infirmary,51.45918655,-2.596124649
NHS Hospital,St Michael's Hospital,51.45913696,-2.599376917
NHS Hospital,Bristol Eye Hospital,51.45843887,-2.594531536
NHS Hospital,University Of Bristol Dental Hospital,51.45861816,-2.595181704
NHS Hospital,Bristol Royal Hospital For Children,51.45775223,-2.597314835
NHS Hospital,South Bristol Community Hospital,51.41099548,-2.584929228
NHS Hospital,Weston General Hospital,51.32234192,-2.971384764
NHS Hospital,Torbay Hospital,50.48232269,-3.553790569
NHS Hospital,Brixham Hospital - Torbay and South Devon NHS Foundation Trust,50.38945007,-3.513809919
NHS Hospital,Dawlish Hospital - Torbay and South Devon NHS Foundation Trust,50.58058929,-3.474774122
NHS Hospital,Newton Abbot Community Hospital - Torbay and South Devon NHS Foundation Trust,50.53936386,-3.612241745
NHS Hospital,Paignton Health and Welllbeing Centre,50.43714523,-3.568786621
NHS Hospital,Teignmouth Hospital,50.54837418,-3.511145592
NHS Hospital,Totnes Hospital - Torbay and South Devon NHS Foundation Trust,50.4327774,-3.68417573
NHS Hospital,Bradford Royal Infirmary,53.8059845,-1.794681668
NHS Hospital,St Lukes Hospital,53.78370285,-1.760688424
NHS Hospital,Shipley Hospital,53.83343506,-1.786266565
NHS Hospital,Eccleshill Community Hospital,53.82307816,-1.712111712
NHS Hospital,Southend Hospital,51.55383682,0.688631773
NHS Hospital,Brentwood Community Hospital,51.62355042,0.316414982
NHS Hospital,Royal Free Hospital,51.55322266,-0.165309235
NHS Hospital,Finchley Memorial Hospital,51.60545731,-0.176605821
NHS Hospital,Edgware Community Hospital,51.6064949,-0.271227777
NHS Hospital,The Royal National Orthopaedic Hospital (Stanmore),51.63256454,-0.31042096
NHS Hospital,Royal National Orthopaedic Hospital (Bolsover Street),51.52331161,-0.143274531
NHS Hospital,North Middlesex University Hospital,51.61309433,-0.07373514
NHS Hospital,Hillingdon Hospital,51.52607727,-0.461160362
NHS Hospital,Mount Vernon Hospital,51.61492538,-0.445808202
NHS Hospital,Kingston Hospital,51.41482544,-0.282609493
NHS Hospital,Musgrove Park Hospital,51.01157761,-3.121679544
NHS Hospital,Dorset County Hospital,50.71294403,-2.446922541
NHS Hospital,Manor Hospital,52.58233261,-1.998909116
NHS Hospital,Victoria Central Hospital,53.41566086,-3.045850515
NHS Hospital,Arrowe Park Hospital,53.36962891,-3.096800804
NHS Hospital,Clatterbridge Hospital,53.33288956,-3.024122
NHS Hospital,Whiston Hospital,53.42047501,-2.784939051
NHS Hospital,St Helens Hospital,53.43953323,-2.718886852
NHS Hospital,Liverpool Heart and Chest Hospital,53.4111557,-2.89797473
NHS Hospital,Alder Hey Children's NHS Foundation Trust,53.41930389,-2.897731543
NHS Hospital,Leighton Hospital,53.11769104,-2.475848436
NHS Hospital,Victoria Infirmary (Northwich),53.26189423,-2.519784451
NHS Hospital,The Christie main site,53.42977142,-2.230110168
NHS Hospital,North Devon District Hospital,51.09217453,-4.0504179
NHS Hospital,Ilfracombe Tyrrell Hospital,51.20452118,-4.124407291
NHS Hospital,Holsworthy Hospital,50.81832886,-4.349647999
NHS Hospital,Bideford Hospital,51.01782608,-4.21274519
NHS Hospital,Torrington Hospital,50.9547348,-4.136956215
NHS Hospital,South Molton Hospital,51.01707077,-3.839224815
NHS Hospital,Bedford Hospital South Wing,52.12826538,-0.472480506
NHS Hospital,Bedford Hospital North Wing,52.14118958,-0.46176514
NHS Hospital,Luton and Dunstable Hospital,51.89414597,-0.474415451
NHS Hospital,St Monicas Hospital,54.11840439,-1.189312696
NHS Hospital,The York Hospital,53.96895218,-1.084269643
NHS Hospital,"Malton, Norton & District Hospital",54.13724518,-0.806531847
NHS Hospital,White Cross Rehabilitation Hospital,53.97165298,-1.076465845
NHS Hospital,St Helens Rehabilitation Hospital,53.94364166,-1.106458068
NHS Hospital,Harrogate District Hospital,53.99380875,-1.517558336
NHS Hospital,Ripon and District Community Hospital,54.13543701,-1.52717948
NHS Hospital,The New Selby War Memorial Hospital - Harrogate and District NHS Foundation Trust,53.77748871,-1.078320146
NHS Hospital,Airedale General Hospital,53.89801788,-1.962679625
NHS Hospital,Castleberg Hospital,54.06954956,-2.292192698
